Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Synthetic and Systems Biotechnology,0.8,Q1,1100,USD,1230,yes,https://www.keaipublishing.com/en/journals/synthetic-and-systems-biotechnology/guide-for-authors/#340844,15,Biotechnology,Biology (General),"CC BY, CC BY-NC-ND",http://www.keaipublishing.com/en/journals/synthetic-and-systems-biotechnology/,"KeAi Communications Co., Ltd.",NA,2405-805X
Biosensors,0.713,Q1,2200,CHF,2714,"yes, library special terms",http://www.mdpi.com/journal/biosensors/apc,6,Biotechnology,,CC BY,http://www.mdpi.com/journal/biosensors,MDPI AG,NA,2079-6374
Journal of Integrative Bioinformatics,0.697,Q2,1000,EUR,1190,yes,https://www.degruyter.com/journal/key/JIB/html,12,Biotechnology,,CC BY,https://www.degruyter.com/view/j/jib,De Gruyter,NA,1613-4516
AMB Express,0.693,Q2,2390,GBP,3274,"no, but DEAL special terms",https://amb-express.springeropen.com/about,13,Biotechnology,Microbiology,CC BY,http://www.amb-express.com/,SpringerOpen,NA,2191-0855
BMC Biotechnology,0.654,Q2,2290,GBP,3137,no,https://bmcbiotechnol.biomedcentral.com/about,20,Biotechnology,,"CC BY, CC0",https://bmcbiotechnol.biomedcentral.com,BMC,NA,1472-6750
Journal of Functional Biomaterials,0.637,Q2,2000,CHF,2467,"yes, library special terms",http://www.mdpi.com/journal/information/apc,6,Biotechnology,Medicine (General),CC BY,http://www.mdpi.com/journal/jfb/,MDPI AG,NA,2079-4983
Bioengineered,0.613,Q2,2875,GBP,3938,no,https://www.tandfonline.com/action/authorSubmission?journalCode=KBIE&page=instructions,17,Biotechnology,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kbie,Taylor & Francis Group,2165-5979,2165-5987
Engineering in Life Sciences,0.572,Q2,2500,USD,2796,no,https://onlinelibrary.wiley.com/page/journal/16182863/homepage/APC.html,17,Biotechnology,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/16182863,Wiley-VCH,1618-0240,1618-2863
Journal of Genetic Engineering and Biotechnology,0.56,Q2,No,-,0,"yes, also under DEAL",https://jgeb.springeropen.com/about,16,Biotechnology,Genetics,CC BY,https://jgeb.springeropen.com,SpringerOpen,1687-157X,2090-5920
BioTech,0.553,Q2,1400,CHF,1727,"yes, library special terms",https://www.mdpi.com/journal/biotech/apc,6,Biotechnology,,CC BY,https://www.mdpi.com/journal/biotech,MDPI AG,NA,2673-6284
Bioinorganic Chemistry and Applications,0.482,Q2,1500,USD,1678,yes,https://www.hindawi.com/journals/bca/apc/,25,Biotechnology,Inorganic chemistry,CC BY,https://www.hindawi.com/journals/bca/,Hindawi Limited,1565-3633,1687-479X
International Journal of Biomaterials,0.481,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/ijbm/apc/,21,Biotechnology,,CC BY,https://www.hindawi.com/journals/ijbm/,Hindawi Limited,1687-8787,1687-8795
Food Technology and Biotechnology,0.437,Q2,No,-,0,yes,http://www.ftb.com.hr/index.php/info-for-authors/general-info-for-authors,24,Biotechnology,Food processing and manufacture,CC BY,http://www.ftb.com.hr,University of Zagreb,1330-9862,1334-2606
IET Nanobiotechnology,0.372,Q3,2200,EUR,2618,"no, but DEAL special terms",https://ietresearch.onlinelibrary.wiley.com/hub/journal/1751875x/homepage/open-access,29,Biotechnology,,"CC BY, CC BY-ND, CC BY-NC, CC BY-NC-ND",https://ietresearch.onlinelibrary.wiley.com/journal/1751875X,Wiley,1751-8741,1751-875X
Applied Bionics and Biomechanics,0.356,Q3,1700,USD,1902,yes,https://www.hindawi.com/journals/abb/apc/,28,Biotechnology,Biology (General),CC BY,https://www.hindawi.com/journals/abb/,Hindawi Limited,1176-2322,1754-2103
International Biomechanics,0.239,Q3,1250,GBP,1712,yes,https://www.tandfonline.com/action/authorSubmission?journalCode=tbbe20&page=instructions,17,Biotechnology,Physiology,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/tbbe,Taylor & Francis Group,NA,2333-5432
BioTechnologia,0.188,Q4,No,-,0,yes,http://www.biotechnologia-journal.org/Journal/BioTechnologia-85/For-authors,8,Biotechnology,,CC BY-NC-ND,http://www.biotechnologia-journal.org/Journal/BioTechnologia-85,Termedia Publishing House,0860-7796,2353-9461
Journal of Biomedicine and Biotechnology,-,-,2550,USD,2852,no,https://www.hindawi.com/journals/bmri/apc/,19,Biotechnology,Medicine,CC BY,https://www.hindawi.com/journals/bmri/,Hindawi Limited,1110-7243,1110-7251
Exploration,-,-,4500,EUR,5355,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/27662098/homepage/author-guidelines#AUTHORLICENSING,12,Biotechnology,,CC BY,https://onlinelibrary.wiley.com/journal/27662098,Wiley,2766-8509,2766-2098
BMC Biomedical Engineering,-,-,1390,GBP,1904,yes,https://bmcbiomedeng.biomedcentral.com/about,19,Biotechnology,Medical technology,"CC BY, CC0",https://bmcbiomedeng.biomedcentral.com/,BMC,NA,2524-4426
Frontiers in Genome Editing,-,-,1900,USD,2125,no,https://www.frontiersin.org/about/publishing-fees,13,Biotechnology,Genetics,CC BY,https://www.frontiersin.org/journals/genome-editing#,Frontiers Media S.A.,NA,2673-3439
Biotechnology for Biofuels and Bioproducts,-,-,2290,GBP,3137,no,https://biotechnologyforbiofuels.biomedcentral.com/about,16,Biotechnology,Fuel,"CC BY, CC0",https://biotechnologyforbiofuels.biomedcentral.com/,BMC,NA,2731-3654
Bioengineering & Translational Medicine,1.484,Q1,2100,USD,2349,"no, but DEAL special terms",https://aiche.onlinelibrary.wiley.com/hub/journal/23806761/homepage/article_publication_charges.htm,12,Chemical engineering,Biotechnology,CC BY,https://aiche.onlinelibrary.wiley.com/journal/23806761,Wiley,NA,2380-6761
RSC Chemical Biology,1.132,Q1,1600,GBP,2192,no,https://www.rsc.org/journals-books-databases/about-journals/rsc-chemical-biology/,10,Chemistry,Biology (General),"CC BY, CC BY-NC",https://www.rsc.org/journals-books-databases/about-journals/rsc-chemical-biology/,The Royal Society of Chemistry,NA,2633-0679
Chiropractic & Manual Therapies,0.577,Q1,1790,GBP,2452,no,https://chiromt.biomedcentral.com/about,20,Chiropractic,Diseases of the musculoskeletal system,"CC BY, CC0",https://chiromt.biomedcentral.com,BMC,NA,2045-709X
GigaScience,3.697,Q1,2439,USD,2728,no,https://academic.oup.com/gigascience/pages/charges_licensing_and_self_archiving,1,Computer applications to medicine. Medical informatics,,CC BY,https://academic.oup.com/gigascience,Oxford University Press,NA,2047-217X
npj Digital Medicine,3.552,Q1,2890,GBP,3959,no,https://www.nature.com/npjdigitalmed/about/apc,15,Computer applications to medicine. Medical informatics,,CC BY,https://www.nature.com/npjdigitalmed/,Nature Portfolio,NA,2398-6352
NAR Genomics and Bioinformatics,2.304,Q1,2473,USD,2766,no,https://academic.oup.com/nargab/pages/General_Instructions,15,Computer applications to medicine. Medical informatics,Genetics,"CC BY, CC BY-NC",https://academic.oup.com/nargab,Oxford University Press,NA,2631-9268
Journal of Medical Internet Research,1.992,Q1,3350,USD,3747,"yes, library special terms",https://www.jmir.org/fees/article-processing-fees,12,Computer applications to medicine. Medical informatics,Public aspects of medicine,CC BY,https://www.jmir.org,JMIR Publications,NA,1438-8871
Database: The Journal of Biological Databases and Curation,1.786,Q1,1415,GBP,1938,yes,https://academic.oup.com/database/pages/instructions_for_authors,23,Computer applications to medicine. Medical informatics,Biology (General),CC BY,https://academic.oup.com/database,Oxford University Press,NA,1758-0463
NeuroImage: Clinical,1.395,Q1,3400,USD,3803,no,https://www.elsevier.com/journals/neuroimage-clinical/2213-1582/open-access-journal,16,Computer applications to medicine. Medical informatics,Neurology. Diseases of the nervous system,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/neuroimage-clinical/,Elsevier,NA,2213-1582
International Journal of Health Geographics,1.142,Q1,2690,GBP,3685,no,https://ij-healthgeographics.biomedcentral.com/about,12,Computer applications to medicine. Medical informatics,,"CC BY, CC0",https://ij-healthgeographics.biomedcentral.com/,BMC,NA,1476-072X
BMC Bioinformatics,1.1,Q1,2290,GBP,3137,no,https://bmcbioinformatics.biomedcentral.com/about,19,Computer applications to medicine. Medical informatics,Biology (General),"CC BY, CC0",http://www.biomedcentral.com/bmcbioinformatics/,BMC,NA,1471-2105
IEEE Open Journal of Engineering in Medicine and Biology,1.032,Q1,1950,USD,2181,no,https://www.embs.org/ojemb/manuscript-formats/,10,Computer applications to medicine. Medical informatics,Medical technology,"CC BY, CC BY-NC-ND",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782705,IEEE,NA,2644-1276
Health and Quality of Life Outcomes,0.993,Q1,2290,GBP,3137,no,https://hqlo.biomedcentral.com/about,22,Computer applications to medicine. Medical informatics,,"CC BY, CC0",https://hqlo.biomedcentral.com/,BMC,NA,1477-7525
Digital Health,0.989,Q1,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/dhj,15,Computer applications to medicine. Medical informatics,,"CC BY, CC BY-NC, CC BY-NC-ND",https://journals.sagepub.com/home/dhj,SAGE Publishing,NA,2055-2076
Brain Informatics,0.986,Q1,790,GBP,1082,"yes, also under DEAL",https://braininformatics.springeropen.com/about,13,Computer applications to medicine. Medical informatics,Computer software,CC BY,http://www.springer.com/40708,SpringerOpen,2198-4018,2198-4026
JMIR Medical Informatics,0.963,Q2,2300,USD,2573,"yes, library special terms",https://medinform.jmir.org/fees/article-processing-fees,12,Computer applications to medicine. Medical informatics,,CC BY,https://medinform.jmir.org,JMIR Publications,NA,2291-9694
Population Health Metrics,0.955,Q1,2190,GBP,3000,no,https://pophealthmetrics.biomedcentral.com/about,29,Computer applications to medicine. Medical informatics,Public aspects of medicine,"CC BY, CC0",https://pophealthmetrics.biomedcentral.com/,BMC,NA,1478-7954
BMC Medical Informatics and Decision Making,0.94,Q1,2290,GBP,3137,no,https://bmcmedinformdecismak.biomedcentral.com/about,23,Computer applications to medicine. Medical informatics,,"CC BY, CC0",http://bmcmedinformdecismak.biomedcentral.com,BMC,NA,1472-6947
Journal of Primary Care & Community Health,0.936,Q1,1200,USD,1342,yes,https://journals.sagepub.com/author-instructions/jpc,15,Computer applications to medicine. Medical informatics,Public aspects of medicine,"CC BY, CC BY-NC",http://journals.sagepub.com/home/jpc,SAGE Publishing,2150-1319,2150-1327
BioData Mining,0.913,Q1,1990,GBP,2726,no,https://biodatamining.biomedcentral.com/about,23,Computer applications to medicine. Medical informatics,Analysis,"CC BY, CC0",https://biodatamining.biomedcentral.com/,BMC,NA,1756-0381
International Journal of Telerehabilitation,0.9,Q1,No,-,0,yes,http://telerehab.pitt.edu/ojs/Telerehab/about,10,Computer applications to medicine. Medical informatics,,CC BY,http://telerehab.pitt.edu,"University Library System, University of Pittsburgh",NA,1945-2020
JAMIA Open,0.876,Q2,3332,USD,3727,no,"https://academic.oup.com/jamiaopen/pages/General_Instructions#Charges,%20licenses,%20and%20self-archiving%20policy",16,Computer applications to medicine. Medical informatics,,"CC BY, CC BY-NC",https://academic.oup.com/jamiaopen,Oxford University Press,NA,2574-2531
BMJ Health & Care Informatics,0.871,Q2,1855,GBP,2541,no,https://informatics.bmj.com/pages/authors/#article_processing_charges,18,Computer applications to medicine. Medical informatics,,"CC BY, CC BY-NC",https://informatics.bmj.com/,BMJ Publishing Group,NA,2632-1009
Journal of Biomedical Semantics,0.697,Q2,1190,GBP,1630,yes,https://jbiomedsem.biomedcentral.com/about,30,Computer applications to medicine. Medical informatics,,"CC BY, CC0",https://jbiomedsem.biomedcentral.com,BMC,NA,2041-1480
Journal of Pathology Informatics,0.644,Q2,1400,USD,1566,yes,https://www.elsevier.com/journals/journal-of-pathology-informatics/2153-3539/open-access-information,18,Computer applications to medicine. Medical informatics,Pathology,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/journal-of-pathology-informatics,Elsevier,2229-5089,2153-3539
IEEE Journal of Translational Engineering in Health and Medicine,0.638,Q2,1950,USD,2181,no,https://www.embs.org/jtehm/about/faqs/#pubfees,27,Computer applications to medicine. Medical informatics,Medical technology,"CC BY, CC BY-NC-ND",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6221039,IEEE,NA,2168-2372
Journal of Health Economics and Outcomes Research,0.593,Q2,2950,USD,3300,no,https://jheor.org/about,10,Computer applications to medicine. Medical informatics,,CC BY,https://jheor.org/,"Columbia Data Analytics, LLC",NA,2327-2236
Tomography,0.545,Q2,1800,CHF,2220,"yes, library special terms",https://www.mdpi.com/journal/tomography/apc,6,Computer applications to medicine. Medical informatics,,CC BY,https://www.mdpi.com/journal/tomography,MDPI AG,2379-1381,2379-139X
JMIR Research Protocols,0.528,Q2,1900,USD,2125,"yes, library special terms",https://www.researchprotocols.org/fees/article-processing-fees,12,Computer applications to medicine. Medical informatics,,CC BY,https://www.researchprotocols.org,JMIR Publications,NA,1929-0748
Telemedicine Reports,0.376,Q3,2000,USD,2237,no,https://home.liebertpub.com/publications/telemedicine-reports/663/for-authors#collapse1539,8,Computer applications to medicine. Medical informatics,,CC BY,https://www.liebertpub.com/tmr,Mary Ann Liebert,NA,2692-4366
Data in Brief,0.258,Q2,530,USD,593,yes,https://www.elsevier.com/journals/data-in-brief/2352-3409/open-access-journal,4,Computer applications to medicine. Medical informatics,Science (General),CC BY,http://www.journals.elsevier.com/data-in-brief/,Elsevier,NA,2352-3409
Interactive Journal of Medical Research,-,-,1985,USD,2220,"yes, library special terms",https://www.i-jmr.org/fees/article-processing-fees,12,Computer applications to medicine. Medical informatics,Medical technology,CC BY,https://www.i-jmr.org,JMIR Publications,NA,1929-073X
Advances in Simulation,-,-,2090,GBP,2863,no,https://advancesinsimulation.biomedcentral.com/about,12,Computer applications to medicine. Medical informatics,,"CC BY, CC0",http://advancesinsimulation.biomedcentral.com/,BMC,NA,2059-0628
JMIR Perioperative Medicine,-,-,1500,USD,1678,"yes, library special terms",https://periop.jmir.org/fees/article-processing-fees,12,Computer applications to medicine. Medical informatics,Surgery,CC BY,https://periop.jmir.org/,JMIR Publications,NA,2561-9128
JMIR Infodemiology,-,-,1985,USD,2220,"yes, library special terms",https://infodemiology.jmir.org/fees/article-processing-fees,16,Computer applications to medicine. Medical informatics,,CC BY,https://infodemiology.jmir.org/,JMIR Publications,NA,2564-1891
Bioinformatics Advances,-,-,1765,GBP,2418,no,https://academic.oup.com/bioinformaticsadvances/pages/instructions-to-authors,8,Computer applications to medicine. Medical informatics,Biology (General),CC BY,https://academic.oup.com/bioinformaticsadvances,Oxford University Press,NA,2635-0041
Frontiers in Bioinformatics,-,-,1900,USD,2125,no,https://www.frontiersin.org/about/publishing-fees,13,Computer applications to medicine. Medical informatics,,CC BY,https://www.frontiersin.org/journals/bioinformatics,Frontiers Media S.A.,NA,2673-7647
PLOS Digital Health,-,-,2575,USD,2880,no,https://plos.org/publish/fees/,16,Computer applications to medicine. Medical informatics,,CC BY,https://journals.plos.org/digitalhealth/,Public Library of Science (PLoS),NA,2767-3170
Open Mind,1.95,Q1,No,-,0,yes,https://direct.mit.edu/opmi/pages/submission-guidelines,53,Consciousness. Cognition,Neurophysiology and neuropsychology,CC BY,https://direct.mit.edu/opmi,The MIT Press,NA,2470-2986
Forensic Sciences Research,0.883,Q1,No,-,0,yes,https://academic.oup.com/fsr/pages/general-instructions,26,Criminal law and procedure,Public aspects of medicine,"CC BY, CC BY-NC",https://academic.oup.com/fsr,Oxford University Press,2096-1790,2471-1411
Cell Discovery,4.179,Q1,2790,GBP,3822,"no, but DEAL special terms",https://www.nature.com/celldisc/open-access,20,Cytology,,CC BY,http://www.nature.com/celldisc/,Nature Publishing Group,NA,2056-5968
Journal of Extracellular Vesicles,3.525,Q1,3850,EUR,4582,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/20013078/homepage/open-access,10,Cytology,,"CC BY, CC BY-ND, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/20013078,Wiley,NA,2001-3078
Protein & Cell,3.367,Q1,2500,USD,2796,no,https://academic.oup.com/proteincell/pages/general-instructions,13,Cytology,Animal biochemistry,CC BY,https://academic.oup.com/proteincell,Oxford University Press,1674-800X,1674-8018
Cell Death and Disease,2.188,Q1,3590,GBP,4918,"no, but DEAL special terms",https://www.nature.com/cddis/open-access,22,Cytology,,CC BY,http://www.nature.com/cddis/index.html,Nature Publishing Group,NA,2041-4889
Journal of Molecular Cell Biology,1.904,Q1,2600,USD,2908,no,https://academic.oup.com/jmcb/pages/General_Instructions,8,Cytology,,"CC BY, CC BY-NC",https://academic.oup.com/jmcb,Oxford University Press,1674-2788,1759-4685
Cellular & Molecular Biology Letters,1.643,Q1,2190,GBP,3000,no,https://cmbl.biomedcentral.com/about,14,Cytology,,CC BY,https://cmbl.biomedcentral.com/,BMC,1425-8153,1689-1392
Cells,1.537,Q1,2700,CHF,3331,no,https://www.mdpi.com/journal/cells/apc,6,Cytology,,CC BY,https://www.mdpi.com/journal/cells,MDPI AG,NA,2073-4409
The Cell Surface,1.164,Q1,2800,USD,3132,no,https://www.elsevier.com/journals/the-cell-surface/2468-2330/open-access-journal,20,Cytology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/the-cell-surface,Elsevier,NA,2468-2330
BMC Molecular and Cell Biology,0.775,Q3,1790,GBP,2452,no,https://bmcmolcellbiol.biomedcentral.com/about,27,Cytology,,"CC BY, CC0",https://bmcmolcellbiol.biomedcentral.com/,BMC,NA,2661-8850
Cell Adhesion & Migration,0.746,Q3,2100,EUR,2499,no,http://www.tandfonline.com/action/authorSubmission?journalCode=KCAM&page=instructions,53,Cytology,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kcam,Taylor & Francis Group,1933-6918,1933-6926
Stem Cells and Cloning: Advances and Applications,0.464,Q3,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=26,16,Cytology,,"CC BY, CC BY-NC",https://www.dovepress.com/stem-cells-and-cloning-advances-and-applications-journal,Dove Medical Press,NA,1178-6957
International Journal of Cell Biology,0.416,Q4,800,USD,895,yes,https://www.hindawi.com/journals/ijcb/apc/,20,Cytology,,CC BY,https://www.hindawi.com/journals/ijcb/,Hindawi Limited,1687-8876,1687-8884
Proteome Science,0.394,Q3,1890,GBP,2589,no,https://proteomesci.biomedcentral.com/about,18,Cytology,,"CC BY, CC0",https://proteomesci.biomedcentral.com/,BMC,NA,1477-5956
